{{1, 0.00017107706344784694, 0.0004427980285886967, 0.02855592086639661}, 
 {2, 0.00013046164550699119, 0.0002453749406052958, 0.001341949819035749}, 
 {3, 0.00013415395622888717, 0.0002376557745732914, 0.00047630808312458105}, 
 {4, 0.00037661569363338967, 0.0005044394138922648, 0.0010055392865963378}, 
 {5, 0.0006424620656099, 0.0009103660728480106, 0.001232821524366379}, 
 {6, 0.0027433868663687107, 0.0034695871274538904, 0.00467241409018592}, 
 {7, 0.5847048900142687, 0.6226810581133108, 0.6879513337036585}, 
 {8, 55.918162394389654, 56.550475898426555, 58.502534566182206}}
