{{1, 0.00010748704719542909, 0.00014169619308297687, 0.007848605724792955}, 
 {2, 0.00019323053140857672, 0.0002722060527808432, 0.00047138403521964896}, 
 {3, 0.00040656360217813063, 0.0005234334927056262, 0.0009349732082381027}, 
 {4, 0.0004955891336338868, 0.000796158720919147, 0.004069328324929241}, 
 {5, 0.0007548708657999601, 0.0011672894364505898, 0.005332506257428196}, 
 {6, 0.0011101524798123325, 0.0014950766448758835, 0.003042868049803426}, 
 {7, 0.0015138442906531806, 0.002086225076798601, 0.002881227223104956}, 
 {8, 0.002048407735293044, 0.0029537347567331245, 0.004909122163131697}, 
 {9, 0.002661330057850185, 0.003762120837222826, 0.005782146729665563}, 
 {10, 0.0037403030888577367, 0.004949926241610927, 0.010390141058287929}, 
 {11, 0.004572302064858997, 0.006108917319720262, 0.010916089128915944}, 
 {12, 0.005575377753381227, 0.007962246572461711, 0.011555267829413953}, 
 {13, 0.007535990724934492, 0.016559987374071546, 0.18608674532913394}, 
 {14, 0.009234039917079077, 0.013947373305373037, 0.03354047153993246}, 
 {15, 0.011169217022502126, 0.021091327610234592, 0.14571633347733315}, 
 {16, 0.01292675332091899, 0.02456019337067907, 0.16719158909753137}, 
 {17, 0.01670644097668803, 0.028406836834146378, 0.3516520800179528}, 
 {18, 0.01989084731382895, 0.03456048792834005, 0.18789023028894733}, 
 {19, 0.025630737685245927, 0.08601561101195625, 1.9139562084641537}, 
 {20, 0.02609432685826438, 0.09888355978783997, 1.797289685387054}, 
 {21, 0.034758111066940225, 0.18081629838979346, 1.964070608323354}, 
 {22, 0.037026826223393365, 0.15644402764648238, 4.745579390056135}, 
 {23, 0.05558803414806054, 0.3373582447823175, 2.772338331481028}, 
 {24, 0.05766557005263173, 0.4862571457754873, 2.1406603397000947}, 
 {25, 0.06912319697657808, 0.7057616461139703, 10.781835755689327}, 
 {26, 0.09864192987659913, 0.7928819626453492, 9.086882764862239}, 
 {27, 0.09194696375758307, 0.6219302599808706, 6.327569237863502}, 
 {28, 0.17558214287326004, 1.548175596985592, 51.35406192320584}, 
 {29, 0.2339611479452538, 2.9044203012336065, 22.9650445558426}, 
 {30, 0.21991111395555205, 3.0592029802545917, 48.71593470859318}}
