{{1, 0.0000960000787692954, 0.00018188732610125813, 0.0003195900058174407}, 
 {6, 0.00016328218525717765, 0.00017800922252177902, 0.0002424617374045025}, 
 {11, 0.00035282080231450444, 0.0004886355300239675, 0.0006814364565632464}, 
 {16, 0.0007388724011260727, 0.000774566453208879, 0.0008455391553141787}, 
 {21, 0.0011938471334130326, 0.0012703103690866915, 0.001504411490799172}, 
 {26, 0.0018769246169637883, 0.002004497098938937, 0.0022789762289035726}, 
 {31, 0.002786053568043953, 0.002930864793102851, 0.0032365154761152624}, 
 {36, 0.0040045161062696255, 0.004293285907547741, 0.004570670416960342}, 
 {41, 0.006129646055094199, 0.006340970783622965, 0.006582979760393649}, 
 {46, 0.007828929500660104, 0.008009784253452447, 0.008211288788749776}, 
 {51, 0.010244931483020704, 0.010904789240357846, 0.012525958995658663}, 
 {56, 0.014137447497392819, 0.014331091911677432, 0.01471673002398361}, 
 {61, 0.018226886750266052, 0.01833945376238834, 0.018762682061687845}, 
 {66, 0.023422788449467446, 0.024125205623274647, 0.02495919996652305}, 
 {71, 0.028969459667248957, 0.029640874436237113, 0.031991410864747376}, 
 {76, 0.03646567094619155, 0.03690664245730916, 0.03725172287320851}, 
 {81, 0.07620190867848917, 0.07870136556375308, 0.08010919393574888}, 
 {86, 0.056615841325818525, 0.05784520362055162, 0.05918158702078935}, 
 {91, 0.06555041275931303, 0.06593228077789037, 0.0663815929284865}, 
 {96, 0.07880252619694457, 0.07995919446707428, 0.0819545287832031}, 
 {101, 0.09378264105242343, 0.09467941816284235, 0.09598489926966094}, 
 {106, 0.11206737400399919, 0.11335577159709224, 0.11534491515480218}, 
 {111, 0.12953856782651718, 0.13093379150095574, 0.13306226302544658}, 
 {116, 0.15235827885807496, 0.15342761828863274, 0.15477838340790434}, 
 {121, 0.17663809365176916, 0.1795176759648165, 0.181387636010368}, 
 {126, 0.2108900191918106, 0.2119080803409139, 0.21480099675979222}, 
 {131, 0.24135814675540246, 0.24332055577178033, 0.2461282019513452}, 
 {136, 0.2864909017361245, 0.28884643368163904, 0.29024310994306457}, 
 {141, 0.3342849922338398, 0.33793100404814047, 0.34336274327199445}, 
 {146, 0.3947695546827115, 0.39755125142990966, 0.40284627925848554}, 
 {151, 0.4385993342353512, 0.44128063162984593, 0.4448528778280023}, 
 {156, 0.5097530336435148, 0.5152712531641371, 0.5218908897566275}, 
 {161, 0.5775340123355999, 0.5837689150715858, 0.5902970997309537}, 
 {166, 0.6717761409445259, 0.6757128575344318, 0.6843755358978756}, 
 {171, 0.7315189591950434, 0.7365968875122328, 0.748693947646316}, 
 {176, 0.8317639645242786, 0.8345580312646526, 0.8401073559855229}, 
 {181, 0.9182789073057701, 0.9288170797782647, 0.9354342034331926}, 
 {186, 1.0480537830184886, 1.0521705999662112, 1.0579196372673947}, 
 {191, 1.116866967685717, 1.1224349834679659, 1.129168105984087}, 
 {196, 1.2539444134928521, 1.2616108672876114, 1.2706693502928001}, 
 {201, 1.3724323055854815, 1.3864355731754776, 1.4395823094008693}}
