{{1, 0.00011117948717948718, 0.00020480340183794306, 0.0003556923076923077}, 
 {2, 0.00010174358974358974, 0.00014788701318706177, 0.0002436923076923077}, 
 {3, 0.00012471794871794873, 0.00015401064266368022, 0.00023671794871794871}, 
 {4, 0.00015097435897435898, 0.00019707153026093604, 0.0003117948717948718}, 
 {5, 0.00026174358974358973, 0.0004191268678401769, 0.0010843076923076924}, 
 {6, 0.0004233846153846154, 0.000540541841363209, 0.000765948717948718}, 
 {7, 0.0005899487179487179, 0.0008788681155127733, 0.001442051282051282}, 
 {8, 0.0011757948717948717, 0.0025935245431683144, 0.031022358974358975}, 
 {9, 0.002696205128205128, 0.013266852618224289, 12.456278153846155}}
