{{1, 0.0007831801297888244, 0.001238237496149936, 0.004122670049370297}, 
 {2, 0.0007224621312509795, 0.0011834702420531053, 0.0019487195476673212}, 
 {3, 0.0010572316367028814, 0.0013626138798880215, 0.002864002349950646}, 
 {4, 0.0007200005907697155, 0.0011285505669809339, 0.001994668303317582}, 
 {5, 0.0012049240655787204, 0.0015592866295663635, 0.0022313864462658022}, 
 {6, 0.002029129870055278, 0.0029197547783450023, 0.004411901055918815}, 
 {7, 0.012276522893557245, 0.014117452009019886, 0.021419094497718564}, 
 {8, 0.11765630166670905, 0.14422463452655693, 0.20778724741517737}, 
 {9, 1.5122457536375415, 1.7618027467050708, 2.2254377234360807}, 
 {10, 46.35335536685569, 56.56674150097441, 82.13771498479178}}
