{{4, 0.00010379495695996468, 0.00019161400814313886, 0.00032615411376747796}, 
 {8, 0.00013128215900074585, 0.00020002320187649026, 0.0007232826447447342}, 
 {12, 0.0002186668460856173, 0.000262119564565001, 0.00034256438364257117}, 
 {16, 0.0004196926520555094, 0.00048777889114820863, 0.0005600004594875565}, 
 {20, 0.0014252319386518471, 0.0016793429186762973, 0.0030096434950920986}, 
 {24, 0.08891412423723015, 0.09398901806072793, 0.10785731926754401}, 
 {28, 8.907416949675445, 9.005319693778342, 9.379117439275847}}
