{{4, 0.00048287219107461833, 0.0007770355925773001, 0.0014555909379207696}, 
 {8, 0.0006937441589695663, 0.0009284830370150475, 0.0019429759532110385}, 
 {12, 0.0008635904521767813, 0.001243606292094286, 0.0018285143208322632}, 
 {16, 0.0012160009977444084, 0.00181750597594625, 0.0051643119296918396}, 
 {20, 0.0016430782712437096, 0.0018545645218879768, 0.00248533537258287}, 
 {24, 0.004834875761949343, 0.005348777572828439, 0.00735139064729489}, 
 {28, 0.03429828455243861, 0.03540419390533284, 0.03855551881478467}, 
 {32, 0.35149813456257195, 0.37485009420818666, 0.40056935431331636}, 
 {36, 5.474219055769482, 5.826616250388769, 6.673710091249306}}
